Name;Symbol;Start Date;Hist.;Category;Exchange;Market;Currency;Type;Sector;Full Name
REEDEREI H EKKENGA;D:EKK;02.01.1998;1998;Equities;Berlin;Germany;Euro;Equity;Industrial Transportation;Reederei H Ekkenga
REGENBOGEN;D:RGB;12.04.2002;2002;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Travel and Leisure;Regenbogen
REGIO CAPITAL;D:RE0;17.02.2009;2009;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Financial Services (Sector);Regio Capital
RHEINLAND HOLDING;D:RLV;04.10.1988;1988;Equities;Duesseldorf;Germany;Euro;Equity;Nonlife Insurance;Rheinland Holding
RHEINTEX VERWALTUNGS;D:RHT;26.09.1988;1988;Equities;Duesseldorf;Germany;Euro;Equity;Personal Goods;Rheintex Verwaltungs
RIM;D:RUC;24.06.2005;2005;Equities;Berlin;Germany;Euro;Equity;Real Estate Investment and Services;Rim
RINGMETALL;D:HP3;08.08.2007;2007;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Financial Services (Sector);Ringmetall
RINGMETALL (XET);D:HP3X;11.02.2008;2008;Equities;XETRA;Germany;Euro;Equity;Financial Services (Sector);Ringmetall (XETRA)
RINOL;D:RILB;03.12.1996;1996;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Construction and Materials;Rinol
RM RHEINER MANAGEMENT;D:RMO;19.05.1992;1992;Equities;Duesseldorf;Germany;Euro;Equity;Financial Services (Sector);RM Rheiner Management
ROPAL EUROPE;D:RO5K;24.04.2008;2008;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Chemicals;Ropal Europe
ROPAL EUROPE (XET);D:RO5X;24.04.2008;2008;Equities;XETRA;Germany;Euro;Equity;Chemicals;Ropal Europe (XETRA)
ROY CERAMICS SE;D:RY8;30.04.2015;2015;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Construction and Materials;Roy Ceramics Securities
ROY CERAMICS SE (XET);D:RY8X;08.05.2015;2015;Equities;XETRA;Germany;Euro;Equity;Construction and Materials;Roy Ceramics Securities (XETRA)
RUBEAN;D:R1B;16.09.2016;2016;Equities;Munich;Germany;Euro;Equity;Unclassified;Rubean
RUBEROID;D:RUB;26.09.1988;1988;Equities;Hamburg;Germany;Euro;Equity;Construction and Materials;Ruberoid
RUCKER IMMOBILIEN PRTF.;D:QOU;06.07.2006;2006;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Real Estate Investment and Services;Rucker Immobilien Portfolio
S&O AGRAR;D:BUF;25.03.1999;1999;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Alternative Energy;S&O Agrar
SANDPIPER DIG PA;D:4MS;17.08.2007;2007;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Financial Services (Sector);Sandpiper Digital PA
SBF K;D:CY1K;23.11.2006;2006;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Financial Services (Sector);SBF K
SBF K (XET);D:CY1X;23.11.2006;2006;Equities;XETRA;Germany;Euro;Equity;Financial Services (Sector);SBF K (XETRA)
SCHALTBAU HOLDING;D:SLT;17.06.1994;1994;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Industrial Engineering;Schaltbau Holding
SCHALTBAU HOLDING (XET);D:SLTX;27.01.1999;1999;Equities;XETRA;Germany;Euro;Equity;Industrial Engineering;Schaltbau Holding (XETRA)
SCHERZER & CO.;D:PZS;12.02.2004;2004;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Financial Services (Sector);Scherzer and Company
SCHERZER & COMPANY (XET);D:PZSX;26.09.2005;2005;Equities;XETRA;Germany;Euro;Equity;Financial Services (Sector);Scherzer and Company (XETRA)
SCHLOSS WACHENHEIM;D:SWA;28.10.1988;1988;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Beverages;Schloss Wachenheim
SCHLOSS WACHENHEIM (XET);D:SWAX;12.10.2000;2000;Equities;XETRA;Germany;Euro;Equity;Beverages;Schloss Wachenheim (XETRA)
SCHNIGGE WERTPAH.;D:SHB3;16.08.1999;1999;Equities;Stuttgart;Germany;Euro;Equity;Financial Services (Sector);Schnigge Wertpapierhandelsbank
SCHOEN & CIE;D:SCC;22.02.1990;1990;Equities;Munich;Germany;Euro;Equity;Industrial Engineering;Schoen and Compagnie
SCHULTE SCHLAGBAUM;D:SSS;04.10.1988;1988;Equities;Duesseldorf;Germany;Euro;Equity;Industrial Engineering;Schulte Schlagbaum
SCHUMAG;D:SCM;12.06.1985;1985;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Industrial Engineering;Schumag
SCHWABENVERLAG;D:SBV;28.10.1988;1988;Equities;Stuttgart;Germany;Euro;Equity;Media;Schwabenverlag
SCHWAELBCHEN MOLKEREI;D:SMB;13.10.1988;1988;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Food Producers;Schwaelbchen Molkerei
SCHWEIZER ELECTRONIC;D:SCE;07.07.1989;1989;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Electronic and Electrical Equipment;Schweizer Electronic
SCHWEIZER ELT. (XET);D:SCEX;25.03.2003;2003;Equities;XETRA;Germany;Euro;Equity;Electronic and Electrical Equipment;Schweizer Electronic (XETRA)
SCI;D:SCI;23.06.2006;2006;Equities;Hamburg;Germany;Euro;Equity;Financial Services (Sector);SCI
SECUNET SCTY.NET. (XET);D:YSNX;10.11.1999;1999;Equities;XETRA;Germany;Euro;Equity;Software and Computer Services;Secunet Security Network (XETRA)
SECUNET SCTY.NETWORKS;D:YSN;08.11.1999;1999;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Software and Computer Services;Secunet Security Networks
SEKTKELLEREI J OPPMANN;D:1SK;30.07.2009;2009;Equities;Munich;Germany;Euro;Equity;Beverages;Sektkellerei J Oppmann
SEVEN PRINCIPLES;D:T3T1;20.10.2005;2005;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Software and Computer Services;Seven Principles
SEVEN PRINCIPLES (XET);D:T3TX;20.10.2005;2005;Equities;XETRA;Germany;Euro;Equity;Software and Computer Services;Seven Principles (XETRA)
SFC ENERGY;D:F3C;21.04.2006;2006;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Alternative Energy;SFC Energy
SFC ENERGY (XET);D:F3CX;21.04.2006;2006;Equities;XETRA;Germany;Euro;Equity;Alternative Energy;SFC Energy (XETRA)
SHAREHOLDERS VALUE (XET);D:SVEX;20.05.2002;2002;Equities;XETRA;Germany;Euro;Equity;Financial Services (Sector);Shareholders Value (XETRA)
SHAREHOLDERS VALUE BET.;D:SVE;26.10.2001;2001;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Financial Services (Sector);Shareholders Value Beteiligung
SHF COMM.TECHS.;D:S4K;04.07.2008;2008;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Electronic and Electrical Equipment;SHF Communication Technologies
SHF COMM.TECHS. (XET);D:S4KX;04.07.2008;2008;Equities;XETRA;Germany;Euro;Equity;Electronic and Electrical Equipment;SHF Communication Technologies (XETRA)
SHOP APOTHEK EUROPE;D:SAE;12.10.2016;2016;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Food and Drug Retailers;Shop Apothek Europe
SHOP APOTHEK EUROPE(XET);D:SAEX;13.10.2016;2016;Equities;XETRA;Germany;Euro;Equity;Food and Drug Retailers;Shop Apothek Europe (XETRA)
SHS VIVEON;D:SHWK;18.05.1999;1999;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Software and Computer Services;Shares Viveon
SHS VIVEON (XET);D:SHKX;20.05.1999;1999;Equities;XETRA;Germany;Euro;Equity;Software and Computer Services;Shares Viveon (XETRA)
SHW;D:SW1;06.07.2011;2011;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Automobiles and Parts;SHW
SHW (XET);D:SW1X;06.07.2011;2011;Equities;XETRA;Germany;Euro;Equity;Automobiles and Parts;SHW (XETRA)
SIMONA;D:SIM;04.05.1990;1990;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Chemicals;Simona
SINGULUS TECHNOLOGIES;D:SNG;24.11.1997;1997;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Industrial Engineering;Singulus Technologies
SINGULUS TECHS. (XET);D:SNGX;04.05.1998;1998;Equities;XETRA;Germany;Euro;Equity;Industrial Engineering;Singulus Technologies (XETRA)
SINNER;D:SIN;26.09.1988;1988;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Real Estate Investment and Services;Sinner
SINNERSCHRADER;D:SZZ;29.10.1999;1999;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Software and Computer Services;Sinnerschrader
SINNERSCHRADER (XET);D:SZZX;03.11.1999;1999;Equities;XETRA;Germany;Euro;Equity;Software and Computer Services;Sinnerschrader (XETRA)
SINO;D:XTP;27.09.2004;2004;Equities;Stuttgart;Germany;Euro;Equity;Financial Services (Sector);Sino
SINO GERMAN UNITED K;D:SGU;30.04.1999;1999;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Financial Services (Sector);Sino German United K
SIXT LEASING;D:LNSX;07.05.2015;2015;Equities;Deutsche Boerse AG;Germany;Euro;Equity;General Retailers;Sixt Leasing
SIXT LEASING (XET);D:LNXX;07.05.2015;2015;Equities;XETRA;Germany;Euro;Equity;General Retailers;Sixt Leasing (XETRA)
SKW STAHL-METGIE. (XET) HLDG.;D:SK1X;30.11.2006;2006;Equities;XETRA;Germany;Euro;Equity;Industrial Metals and Mining;SKW Stahl-Metallurgie (XETRA) Holding
SKW STAHL-METGIE.HLDG.;D:SK1A;30.11.2006;2006;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Industrial Metals and Mining;SKW Stahl-Metallurgie Holding
SLOMAN NEP.SCHIFFAHRTS;D:NEP;30.09.1988;1988;Equities;Berlin;Germany;Euro;Equity;Industrial Transportation;Sloman Neptun Schiffahrts
SM WIRTSCHAFTSBERATUNGS;D:SMWN;09.02.1999;1999;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Financial Services (Sector);SM Wirtschaftsberatungs
SM WIRTSHAFTSBERAT (XET);D:SMWX;11.10.2001;2001;Equities;XETRA;Germany;Euro;Equity;Financial Services (Sector);SM Wirtshaftsberat (XETRA)
SMART EQUITY;D:SE3;02.05.2008;2008;Equities;Hamburg;Germany;Euro;Equity;Financial Services (Sector);Smart Equity
SMART GRIDS;D:BGZ;28.08.2008;2008;Equities;Hamburg;Germany;Euro;Equity;Financial Services (Sector);Smart Grids
SMT SCHARF;D:S4A;10.04.2007;2007;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Industrial Transportation;SMT Scharf
SMT SCHARF (XET);D:S4AX;10.04.2007;2007;Equities;XETRA;Germany;Euro;Equity;Industrial Transportation;SMT Scharf (XETRA)
SNOWBIRD;D:8S9;26.09.2014;2014;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Personal Goods;Snowbird
SNP SCHNNEUR.& PTN.;D:SHF;03.04.2000;2000;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Software and Computer Services;SNP Schneider-Neureither and Partner
SNP SCHNNEUR.& PTN.(XET);D:SHFX;04.06.2001;2001;Equities;XETRA;Germany;Euro;Equity;Software and Computer Services;SNP Schneider-Neureither and Partner (XETRA)
SOFTING;D:SYT;15.05.2000;2000;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Software and Computer Services;Softing
SOFTING (XET);D:SYTX;15.05.2000;2000;Equities;XETRA;Germany;Euro;Equity;Software and Computer Services;Softing (XETRA)
SOFTLINE;D:SFD1;11.02.2000;2000;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Software and Computer Services;Softline
SOFTLINE (XET);D:SD1X;14.02.2000;2000;Equities;XETRA;Germany;Euro;Equity;Software and Computer Services;Softline (XETRA)
SOFTMATIC;D:SFP1;31.05.1999;1999;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Software and Computer Services;Softmatic
SOFTSHIP;D:SFO;21.06.2001;2001;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Software and Computer Services;Softship
SOFTSHIP (XET);D:SFOX;20.07.2001;2001;Equities;XETRA;Germany;Euro;Equity;Software and Computer Services;Softship (XETRA)
SOLAR FABRIK;D:SFX;16.07.2002;2002;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Alternative Energy;Solar Fabrik
SOLAR MILLENNIUM;D:S2M;27.07.2005;2005;Equities;Munich;Germany;Euro;Equity;Alternative Energy;Solar Millennium
SOLARWORLD (XET);D:SWVX;24.05.2000;2000;Equities;XETRA;Germany;Euro;Equity;Alternative Energy;Solarworld (XETRA)
SOLARWORLD K;D:SWVK;05.11.1999;1999;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Alternative Energy;Solarworld K
SOLON;D:SOO1;29.10.1998;1998;Equities;Munich;Germany;Euro;Equity;Alternative Energy;Solon
SONNE + WIND BETEILIG.;D:SYW;09.06.2008;2008;Equities;Berlin;Germany;Euro;Equity;Electricity;Sonne + Wind Beteiligungen
SPARTA;D:SPT6;04.08.1998;1998;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Financial Services (Sector);Sparta
SPLENDID MEDIEN;D:SPM;23.09.1999;1999;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Media;Splendid Medien
SPLENDID MEDIEN (XET);D:SPMX;27.09.1999;1999;Equities;XETRA;Germany;Euro;Equity;Media;Splendid Medien (XETRA)
SPOBAG;D:SBE;05.09.2001;2001;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Leisure Goods;Spobag
STAATL MINERALBR.BAD BRUCKENAU;D:SLB;04.05.1995;1995;Equities;Munich;Germany;Euro;Equity;Beverages;Staatl Mineralbrunnen Bad Bruckenau
STARAMBA;D:99SC;30.01.2012;2012;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Financial Services (Sector);Staramba
STARAMBA (XET);D:AT8X;18.05.2015;2015;Equities;XETRA;Germany;Euro;Equity;Financial Services (Sector);Staramba (XETRA)
STARDSL;D:IKHK;24.09.2008;2008;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Financial Services (Sector);Stardsl
STARDSL (XET);D:IKHX;24.09.2008;2008;Equities;XETRA;Germany;Euro;Equity;Financial Services (Sector);Stardsl (XETRA)
STEICO;D:ST5;22.06.2007;2007;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Construction and Materials;Steico
STEICO (XET);D:ST5X;22.06.2007;2007;Equities;XETRA;Germany;Euro;Equity;Construction and Materials;Steico (XETRA)
STEILMANN;D:STE;04.11.2015;2015;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Personal Goods;Steilmann
STEILMANN (XET);D:STEX;05.11.2015;2015;Equities;XETRA;Germany;Euro;Equity;Personal Goods;Steilmann (XETRA)
STERN IMMOBILIEN;D:SY5N;22.10.2010;2010;Equities;Berlin;Germany;Euro;Equity;Real Estate Investment and Services;Stern Immobilien
STINAG STUTTGART INVEST;D:STG;26.09.1988;1988;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Financial Services (Sector);Stinag Stuttgart Invest
