Name;Symbol;Start Date;Hist.;Category;Exchange;Market;Currency;Type;Sector;Full Name
SAP;D:SAP;03.11.1988;1988;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Software and Computer Services;SAP
SIEMENS;D:SIE;01.01.1973;1973;Equities;Deutsche Boerse AG;Germany;Euro;Equity;General Industrials;Siemens
SAP (XET);D:SAPX;18.12.1996;1996;Equities;XETRA;Germany;Euro;Equity;Software and Computer Services;SAP (XETRA)
SIEMENS (XET);D:SIEX;01.07.1991;1991;Equities;XETRA;Germany;Euro;Equity;General Industrials;Siemens (XETRA)
BAYER;D:BAYN;01.01.1973;1973;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Chemicals;Bayer
BASF;D:BAS;01.01.1973;1973;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Chemicals;BASF
BAYER (XET);D:BAYX;01.07.1991;1991;Equities;XETRA;Germany;Euro;Equity;Chemicals;Bayer (XETRA)
DAIMLER;D:DAI;26.10.1998;1998;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Automobiles and Parts;Daimler
ALLIANZ;D:ALV;01.01.1973;1973;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Nonlife Insurance;Allianz
BASF (XET);D:BASX;01.07.1991;1991;Equities;XETRA;Germany;Euro;Equity;Chemicals;BASF (XETRA)
DEUTSCHE TELEKOM;D:DTE;15.11.1996;1996;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Mobile Telecommunications;Deutsche Telekom
ALLIANZ (XET);D:ALVX;01.07.1991;1991;Equities;XETRA;Germany;Euro;Equity;Nonlife Insurance;Allianz (XETRA)
DAIMLER (XET);D:DAIX;27.10.1998;1998;Equities;XETRA;Germany;Euro;Equity;Automobiles and Parts;Daimler (XETRA)
DEUTSCHE TELEKOM (XET);D:DTEX;15.11.1996;1996;Equities;XETRA;Germany;Euro;Equity;Mobile Telecommunications;Deutsche Telekom (XETRA)
BMW;D:BMW;01.01.1973;1973;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Automobiles and Parts;BMW
BMW (XET);D:BMWX;01.07.1991;1991;Equities;XETRA;Germany;Euro;Equity;Automobiles and Parts;BMW (XETRA)
VOLKSWAGEN;D:VOW;01.01.1973;1973;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Automobiles and Parts;Volkswagen
DEUTSCHE BANK;D:DBK;01.01.1973;1973;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Banks;Deutsche Bank
ADIDAS;D:ADS;17.11.1995;1995;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Personal Goods;Adidas
CONTINENTAL;D:CON;01.01.1973;1973;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Automobiles and Parts;Continental
DEUTSCHE POST;D:DPW;17.11.2000;2000;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Industrial Transportation;Deutsche Post
VOLKSWAGEN (XET);D:VOWX;01.07.1991;1991;Equities;XETRA;Germany;Euro;Equity;Automobiles and Parts;Volkswagen (XETRA)
CONTINENTAL (XET);D:CONX;09.07.1991;1991;Equities;XETRA;Germany;Euro;Equity;Automobiles and Parts;Continental (XETRA)
ADIDAS (XET);D:ADSX;24.04.1996;1996;Equities;XETRA;Germany;Euro;Equity;Personal Goods;Adidas (XETRA)
DEUTSCHE POST (XET);D:DPWX;17.11.2000;2000;Equities;XETRA;Germany;Euro;Equity;Industrial Transportation;Deutsche Post (XETRA)
FRESENIUS;D:FRE;07.08.1992;1992;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Health Care Equipment and Services;Fresenius
DEUTSCHE BANK (XET);D:DBKX;01.07.1991;1991;Equities;XETRA;Germany;Euro;Equity;Banks;Deutsche Bank (XETRA)
FRESENIUS (XET);D:FREX;24.03.1999;1999;Equities;XETRA;Germany;Euro;Equity;Health Care Equipment and Services;Fresenius (XETRA)
LINDE;D:LIN;01.01.1973;1973;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Chemicals;Linde
MUENCHENER RUCK.;D:MUV2;01.01.1973;1973;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Nonlife Insurance;Muenchener Rückversicherung
HENKEL;D:HEN;02.07.1996;1996;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Household Goods and Home Construction;Henkel
LINDE (XET);D:LINX;04.07.1991;1991;Equities;XETRA;Germany;Euro;Equity;Chemicals;Linde (XETRA)
MUENCHENER RUCK. (XET);D:MU2X;22.01.1996;1996;Equities;XETRA;Germany;Euro;Equity;Nonlife Insurance;Muenchener Rückversicherung (XETRA)
FRESENIUS MED.CARE;D:FME;02.10.1996;1996;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Health Care Equipment and Services;Fresenius Medical Care
HENKEL (XET);D:HENX;01.12.1997;1997;Equities;XETRA;Germany;Euro;Equity;Household Goods and Home Construction;Henkel (XETRA)
BEIERSDORF;D:BEI;01.01.1973;1973;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Personal Goods;Beiersdorf
INFINEON TECHNOLOGIES;D:IFX;10.03.2000;2000;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Technology Hardware and Equipment;Infineon Technologies
FRESENIUS MED.CARE (XET);D:FMEX;02.10.1996;1996;Equities;XETRA;Germany;Euro;Equity;Health Care Equipment and Services;Fresenius Medical Care (XETRA)
E ON;D:EOAN;01.01.1973;1973;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Gas, Water and Multiutilities;E On
BEIERSDORF (XET);D:BEIX;22.01.1996;1996;Equities;XETRA;Germany;Euro;Equity;Personal Goods;Beiersdorf (XETRA)
DEUTSCHE BOERSE;D:DB1;02.02.2001;2001;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Financial Services (Sector);Deutsche Boerse
INFINEON TECHS. (XET);D:IFXX;13.03.2000;2000;Equities;XETRA;Germany;Euro;Equity;Technology Hardware and Equipment;Infineon Technologies (XETRA)
INNOGY;D:IGY;06.10.2016;2016;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Gas, Water and Multiutilities;Innogy
HEIDELBERGCEMENT;D:HEI;01.01.1973;1973;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Construction and Materials;HeidelbergCement
INNOGY (XET);D:IGYX;07.10.2016;2016;Equities;XETRA;Germany;Euro;Equity;Gas, Water and Multiutilities;Innogy (XETRA)
COMMERZBANK;D:CBK;01.01.1973;1973;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Banks;Commerzbank
DEUTSCHE BOERSE (XET);D:DB1X;02.02.2001;2001;Equities;XETRA;Germany;Euro;Equity;Financial Services (Sector);Deutsche Boerse (XETRA)
HEIDELBERGCEMENT (XET);D:HEIX;08.05.1996;1996;Equities;XETRA;Germany;Euro;Equity;Construction and Materials;HeidelbergCement (XETRA)
MERCK KGAA;D:MRK;20.10.1995;1995;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Pharmaceuticals and Biotechnology;Merck KGaA
VONOVIA;D:VNA;10.07.2013;2013;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Real Estate Investment and Services;Vonovia
E ON (XET);D:EONX;01.07.1991;1991;Equities;XETRA;Germany;Euro;Equity;Gas, Water and Multiutilities;E On (XETRA)
EVONIK INDUSTRIES;D:EVK;24.04.2013;2013;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Chemicals;Evonik Industries
COVESTRO;D:1COV;06.10.2015;2015;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Chemicals;Covestro
MAN;D:MAN;01.01.1973;1973;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Industrial Engineering;Man
TELEFONICA DTL.HLDG.;D:O2D;29.10.2012;2012;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Mobile Telecommunications;Telefonica Deutschland Holding
THYSSENKRUPP;D:TKA;01.01.1973;1973;Equities;Deutsche Boerse AG;Germany;Euro;Equity;General Industrials;ThyssenKrupp
VONOVIA (XET);D:VNAX;10.07.2013;2013;Equities;XETRA;Germany;Euro;Equity;Real Estate Investment and Services;Vonovia (XETRA)
AUDI;D:NSU;01.01.1973;1973;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Automobiles and Parts;Audi
COVESTRO (XET);D:1COX;06.10.2015;2015;Equities;XETRA;Germany;Euro;Equity;Chemicals;Covestro (XETRA)
EVONIK INDUSTRIES (XET);D:EVKX;25.04.2013;2013;Equities;XETRA;Germany;Euro;Equity;Chemicals;Evonik Industries (XETRA)
HANNOVER RUCK.;D:HNR1;30.11.1994;1994;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Nonlife Insurance;Hannover Rückversicherung
MAN (XET);D:MANX;01.07.1991;1991;Equities;XETRA;Germany;Euro;Equity;Industrial Engineering;Man (XETRA)
MERCK KGAA (XET);D:MRKX;24.04.1996;1996;Equities;XETRA;Germany;Euro;Equity;Pharmaceuticals and Biotechnology;Merck KGaA (XETRA)
RWE;D:RWE;01.01.1973;1973;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Gas, Water and Multiutilities;RWE
TELEFONICA DTL. (XET) HLDG.;D:O2DX;29.10.2012;2012;Equities;XETRA;Germany;Euro;Equity;Mobile Telecommunications;Telefonica Deutschland (XETRA) Holding
DEUTSCHE WOHNEN BR.SHS.;D:DWNI;27.03.2006;2006;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Real Estate Investment and Services;Deutsche Wohnen Bearer Shares
HANNOVER RUCK. (XET);D:HN1X;24.01.1997;1997;Equities;XETRA;Germany;Euro;Equity;Nonlife Insurance;Hannover Rückversicherung (XETRA)
THYSSENKRUPP (XET);D:TKAX;01.07.1991;1991;Equities;XETRA;Germany;Euro;Equity;General Industrials;ThyssenKrupp (XETRA)
AUDI (XET);D:NSUX;26.10.1999;1999;Equities;XETRA;Germany;Euro;Equity;Automobiles and Parts;Audi (XETRA)
COMMERZBANK (XET);D:CBKX;01.07.1991;1991;Equities;XETRA;Germany;Euro;Equity;Banks;Commerzbank (XETRA)
DEUTSCHE LUFTHANSA;D:LHA;01.01.1973;1973;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Travel and Leisure;Deutsche Lufthansa
DEUTSCHE WOHNEN (XET) BR.SHS.;D:DWIX;27.03.2006;2006;Equities;XETRA;Germany;Euro;Equity;Real Estate Investment and Services;Deutsche Wohnen (XETRA) Bearer Shares
HOCHTIEF;D:HOT;01.01.1973;1973;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Construction and Materials;Hochtief
METRO;D:MEO;22.07.1996;1996;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Food and Drug Retailers;Metro
ZALANDO;D:ZAL;30.09.2014;2014;Equities;Deutsche Boerse AG;Germany;Euro;Equity;General Retailers;Zalando
HOCHTIEF (XET);D:HOTX;22.01.1996;1996;Equities;XETRA;Germany;Euro;Equity;Construction and Materials;Hochtief (XETRA)
KABEL DEUTSCHLAND HLDG.;D:KD8;19.03.2010;2010;Equities;Hamburg;Germany;Euro;Equity;Media;Kabel Deutschland Holding
PROSIEBENSAT 1 MEDIA;D:PSM;07.07.1997;1997;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Media;Prosiebensat 1 Media
SYMRISE;D:SY1;08.12.2006;2006;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Chemicals;Symrise
TUI;D:TUI1;01.01.1973;1973;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Travel and Leisure;TUI
BRENNTAG;D:BNR;26.03.2010;2010;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Chemicals;Brenntag
GEA GROUP;D:G1A;01.01.1973;1973;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Industrial Engineering;GEA Group
LANXESS;D:LXS;31.01.2005;2005;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Chemicals;Lanxess
METRO (XET);D:MEOX;02.08.1996;1996;Equities;XETRA;Germany;Euro;Equity;Food and Drug Retailers;Metro (XETRA)
MTU AERO ENGINES HLDG.;D:MTX;03.06.2005;2005;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Aerospace and Defense;MTU Aero Engines Holding
PROSIEBENSAT 1 (XET) MEDIA;D:PSMX;07.07.1997;1997;Equities;XETRA;Germany;Euro;Equity;Media;Prosiebensat 1 (XETRA) Media
RWE (XET);D:RWEX;01.07.1991;1991;Equities;XETRA;Germany;Euro;Equity;Gas, Water and Multiutilities;RWE (XETRA)
UNITED INTERNET;D:UTDI;20.03.1998;1998;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Software and Computer Services;United Internet
UNITED INTERNET (XET);D:UTDX;12.10.1998;1998;Equities;XETRA;Germany;Euro;Equity;Software and Computer Services;United Internet (XETRA)
ZALANDO (XET);D:ZALX;30.09.2014;2014;Equities;XETRA;Germany;Euro;Equity;General Retailers;Zalando (XETRA)
BOSS (HUGO);D:BOSS;22.05.1989;1989;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Personal Goods;Boss (Hugo)
BRENNTAG (XET);D:BNRX;26.03.2010;2010;Equities;XETRA;Germany;Euro;Equity;Chemicals;Brenntag (XETRA)
GEA GROUP (XET);D:G1AX;01.07.1991;1991;Equities;XETRA;Germany;Euro;Equity;Industrial Engineering;GEA Group (XETRA)
KION GROUP;D:KGX;27.06.2013;2013;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Industrial Engineering;Kion Group
SYMRISE (XET);D:SY1X;08.12.2006;2006;Equities;XETRA;Germany;Euro;Equity;Chemicals;Symrise (XETRA)
TALANX AKTGSF.;D:TLX;01.10.2012;2012;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Nonlife Insurance;Talanx Aktiengesellschaft
TALANX AKTGSF. (XET);D:TLXX;01.10.2012;2012;Equities;XETRA;Germany;Euro;Equity;Nonlife Insurance;Talanx Aktiengesellschaft (XETRA)
TUI (XET);D:TUIX;01.07.1991;1991;Equities;XETRA;Germany;Euro;Equity;Travel and Leisure;TUI (XETRA)
UNIPER SE;D:UN01;12.09.2016;2016;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Gas, Water and Multiutilities;Uniper Securities
AXEL SPRINGER;D:SPR;08.11.1985;1985;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Media;Axel Springer
DEUTSCHE LUFTHANSA (XET);D:LHAX;03.07.1991;1991;Equities;XETRA;Germany;Euro;Equity;Travel and Leisure;Deutsche Lufthansa (XETRA)
ENBW ENGE.BADEN- (XET) WURTG.;D:EBKX;14.04.1999;1999;Equities;XETRA;Germany;Euro;Equity;Electricity;Enbw Energie Baden- (XETRA) Wuerttemberg
ENBW ENGE.BADEN-WURTG.;D:EBK;14.11.1973;1973;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Electricity;Enbw Energie Baden-Wuerttemberg
FRAPORT;D:FRA;08.06.2001;2001;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Industrial Transportation;Fraport
FREENET;D:FNTN;02.12.1999;1999;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Mobile Telecommunications;Freenet
K + S;D:SDF;01.01.1973;1973;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Chemicals;K + S
KION GROUP (XET);D:KGXX;27.06.2013;2013;Equities;XETRA;Germany;Euro;Equity;Industrial Engineering;Kion Group (XETRA)
MTU AERO ENGINES (XET) HLDG.;D:MTXX;03.06.2005;2005;Equities;XETRA;Germany;Euro;Equity;Aerospace and Defense;MTU Aero Engines (XETRA) Holding
OSRAM LICHT;D:OSR;05.07.2013;2013;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Household Goods and Home Construction;Osram Licht
QIAGEN;D:QIA;21.11.1996;1996;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Pharmaceuticals and Biotechnology;QIAGEN
QIAGEN (XET);D:QIAX;04.05.1998;1998;Equities;XETRA;Germany;Euro;Equity;Pharmaceuticals and Biotechnology;QIAGEN (XETRA)
STADA ARZNEIMITTEL;D:SAZ;16.02.1998;1998;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Pharmaceuticals and Biotechnology;Stada Arzneimittel
WIRECARD;D:WDI;24.10.2000;2000;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Support Services;Wirecard
AXEL SPRINGER (XET);D:SPRX;11.11.1998;1998;Equities;XETRA;Germany;Euro;Equity;Media;Axel Springer (XETRA)
BIOMAX RUBB IND. (XET);D:BRBX;01.04.2014;2014;Equities;XETRA;Germany;Euro;Equity;Health Care Equipment and Services;Biomax Rubb Industry (XETRA)
CARL ZEISS MEDITEC;D:AFX;21.03.2000;2000;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Health Care Equipment and Services;Carl Zeiss Meditec
CELESIO;D:CLS1;01.01.1973;1973;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Food and Drug Retailers;Celesio
CELESIO (XET);D:C@1X;22.01.1996;1996;Equities;XETRA;Germany;Euro;Equity;Food and Drug Retailers;Celesio (XETRA)
FIELMANN;D:FIE;16.09.1994;1994;Equities;Deutsche Boerse AG;Germany;Euro;Equity;General Retailers;Fielmann
FIELMANN (XET);D:FIEX;22.01.1996;1996;Equities;XETRA;Germany;Euro;Equity;General Retailers;Fielmann (XETRA)
FRAPORT (XET);D:FRAX;08.06.2001;2001;Equities;XETRA;Germany;Euro;Equity;Industrial Transportation;Fraport (XETRA)
HELLA KGAA HUECK;D:HLE;11.11.2014;2014;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Automobiles and Parts;Hella KGaA Hueck
LANXESS (XET);D:LXSX;31.01.2005;2005;Equities;XETRA;Germany;Euro;Equity;Chemicals;Lanxess (XETRA)
OSRAM LICHT (XET);D:OSRX;05.07.2013;2013;Equities;XETRA;Germany;Euro;Equity;Household Goods and Home Construction;Osram Licht (XETRA)
RHEINMETALL;D:RHM;01.01.1973;1973;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Automobiles and Parts;Rheinmetall
SOFTWARE;D:SOW;23.04.1999;1999;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Software and Computer Services;Software
SUEDZUCKER;D:SZU;01.01.1973;1973;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Food Producers;Suedzucker
UNIPER SE (XET);D:UN0X;12.09.2016;2016;Equities;XETRA;Germany;Euro;Equity;Gas, Water and Multiutilities;Uniper Securities (XETRA)
WACKER CHEMIE;D:WCH;07.04.2006;2006;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Chemicals;Wacker Chemie
WACKER CHEMIE (XET);D:WCHX;10.04.2006;2006;Equities;XETRA;Germany;Euro;Equity;Chemicals;Wacker Chemie (XETRA)
WIRECARD (XET);D:WDIX;24.10.2000;2000;Equities;XETRA;Germany;Euro;Equity;Support Services;Wirecard (XETRA)
AAREAL BANK;D:ARL;14.06.2002;2002;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Financial Services (Sector);Aareal Bank
ALSTRIA OFFICE REIT;D:AOX;02.04.2007;2007;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Real Estate Investment Trusts;Alstria Office REIT
BIOMAX RUBB IND.;D:BRB;30.01.2014;2014;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Health Care Equipment and Services;Biomax Rubb Industry
BOSS (HUGO) (XET);D:BOSX;23.04.1999;1999;Equities;XETRA;Germany;Euro;Equity;Personal Goods;Boss (Hugo) (XETRA)
CARL ZEISS MEDITEC (XET);D:AFXX;22.03.2000;2000;Equities;XETRA;Germany;Euro;Equity;Health Care Equipment and Services;Carl Zeiss Meditec (XETRA)
CTS EVENTIM;D:EVD;31.01.2000;2000;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Support Services;CTS Eventim
CTS EVENTIM (XET);D:EVDX;01.02.2000;2000;Equities;XETRA;Germany;Euro;Equity;Support Services;CTS Eventim (XETRA)
DIALOG SEMICON.;D:DLG;13.10.1999;1999;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Technology Hardware and Equipment;Dialog Semiconductor
DIALOG SEMICON. (XET);D:DLGX;14.10.1999;1999;Equities;XETRA;Germany;Euro;Equity;Technology Hardware and Equipment;Dialog Semiconductor (XETRA)
DMG MORI;D:GIL;01.01.1973;1973;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Industrial Engineering;DMG Mori
DMG MORI (XET);D:GILX;18.11.1998;1998;Equities;XETRA;Germany;Euro;Equity;Industrial Engineering;DMG Mori (XETRA)
DRILLISCH;D:DRI;21.04.1998;1998;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Mobile Telecommunications;Drillisch
DUERR;D:DUE;04.01.1990;1990;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Industrial Engineering;Duerr
DUERR (XET);D:DUEX;28.02.1996;1996;Equities;XETRA;Germany;Euro;Equity;Industrial Engineering;Duerr (XETRA)
FREENET (XET);D:FNTX;06.12.1999;1999;Equities;XETRA;Germany;Euro;Equity;Mobile Telecommunications;Freenet (XETRA)
FUCHS PETROLUB;D:FPE;03.04.1989;1989;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Chemicals;Fuchs Petrolub
GELSENWASSER;D:WWG;01.01.1973;1973;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Gas, Water and Multiutilities;Gelsenwasser
GERRESHEIMER;D:GXI;08.06.2007;2007;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Health Care Equipment and Services;Gerresheimer
GFK;D:GFK;22.09.1999;1999;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Media;GFK
GSW IMMOBILIEN;D:GIB;14.04.2011;2011;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Real Estate Investment and Services;GSW Immobilien
HAPAG LLOYD;D:HLAG;05.11.2015;2015;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Industrial Transportation;Hapag Lloyd
HAPAG LLOYD (XET);D:HLAX;06.11.2015;2015;Equities;XETRA;Germany;Euro;Equity;Industrial Transportation;Hapag Lloyd (XETRA)
HELLA KGAA HUECK (XET);D:HLEX;11.11.2014;2014;Equities;XETRA;Germany;Euro;Equity;Automobiles and Parts;Hella KGaA Hueck (XETRA)
HSBC TRINKAUS & BURKHD.;D:TUB;25.10.1985;1985;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Financial Services (Sector);HSBC Trinkaus and Burkhardt
K + S (XET);D:SDFX;29.09.1998;1998;Equities;XETRA;Germany;Euro;Equity;Chemicals;K + S (XETRA)
KRONES;D:KRN;31.08.1998;1998;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Industrial Engineering;Krones
KRONES (XET);D:KRNX;23.10.1998;1998;Equities;XETRA;Germany;Euro;Equity;Industrial Engineering;Krones (XETRA)
KUKA;D:KU2;01.01.1973;1973;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Industrial Engineering;Kuka
KUKA (XET);D:IWKX;22.01.1996;1996;Equities;XETRA;Germany;Euro;Equity;Industrial Engineering;Kuka (XETRA)
KWS SAAT;D:KWS;01.01.1973;1973;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Food Producers;KWS Saat
LEG IMMOBILIEN;D:LEG;31.01.2013;2013;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Real Estate Investment and Services;LEG Immobilien
LEG IMMOBILIEN (XET);D:LEGX;31.01.2013;2013;Equities;XETRA;Germany;Euro;Equity;Real Estate Investment and Services;LEG Immobilien (XETRA)
PUMA;D:PUM;05.08.1986;1986;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Personal Goods;Puma
PUMA (XET);D:PUMX;31.07.1996;1996;Equities;XETRA;Germany;Euro;Equity;Personal Goods;Puma (XETRA)
RATIONAL;D:RAA;02.03.2000;2000;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Industrial Engineering;Rational
RATIONAL (XET);D:RAAX;03.03.2000;2000;Equities;XETRA;Germany;Euro;Equity;Industrial Engineering;Rational (XETRA)
RHEINMETALL (XET);D:RHMX;18.12.1996;1996;Equities;XETRA;Germany;Euro;Equity;Automobiles and Parts;Rheinmetall (XETRA)
RHOEN-KLINIKUM;D:RHK;07.06.1991;1991;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Health Care Equipment and Services;Rhoen-Klinikum
SALZGITTER;D:SZG;26.09.1988;1988;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Industrial Metals and Mining;Salzgitter
SARTORIUS;D:SRT;10.07.1990;1990;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Industrial Engineering;Sartorius
SARTORIUS (XET);D:SRTX;05.05.1999;1999;Equities;XETRA;Germany;Euro;Equity;Industrial Engineering;Sartorius (XETRA)
SCOUT24;D:G24;30.09.2015;2015;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Software and Computer Services;SCOUT24
SCOUT24 (XET);D:G24X;01.10.2015;2015;Equities;XETRA;Germany;Euro;Equity;Software and Computer Services;SCOUT24 (XETRA)
SOFTWARE (XET);D:SOWX;27.04.1999;1999;Equities;XETRA;Germany;Euro;Equity;Software and Computer Services;Software (XETRA)
STADA ARZNEIMITTEL (XET);D:SAZX;21.10.1998;1998;Equities;XETRA;Germany;Euro;Equity;Pharmaceuticals and Biotechnology;Stada Arzneimittel (XETRA)
SUEDZUCKER (XET);D:SZUX;29.10.1998;1998;Equities;XETRA;Germany;Euro;Equity;Food Producers;Suedzucker (XETRA)
AAREAL BANK (XET);D:ARLX;18.06.2002;2002;Equities;XETRA;Germany;Euro;Equity;Financial Services (Sector);Aareal Bank (XETRA)
ADVA OPTICAL NETWG.;D:ADV;26.03.1999;1999;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Technology Hardware and Equipment;Adva Optical Networking
ALSTRIA OFFICE REIT(XET);D:AOXX;02.04.2007;2007;Equities;XETRA;Germany;Euro;Equity;Real Estate Investment Trusts;Alstria Office REIT (XETRA)
AURELIUS SE & CO. (XET) KGAA;D:AR4X;23.06.2006;2006;Equities;XETRA;Germany;Euro;Equity;Financial Services (Sector);Aurelius Securities&Company (XETRA) KGaA
AURELIUS SE & CO.KGAA;D:AR4;23.06.2006;2006;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Financial Services (Sector);Aurelius Securities&Company KGaA
AURUBIS;D:NDA;07.07.1998;1998;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Industrial Metals and Mining;Aurubis
AURUBIS (XET);D:NDAX;16.10.1998;1998;Equities;XETRA;Germany;Euro;Equity;Industrial Metals and Mining;Aurubis (XETRA)
BECHTLE;D:BC8;29.03.2000;2000;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Software and Computer Services;Bechtle
BECHTLE (XET);D:BC8X;29.03.2000;2000;Equities;XETRA;Germany;Euro;Equity;Software and Computer Services;Bechtle (XETRA)
BERTRANDT;D:BDT;01.10.1996;1996;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Support Services;Bertrandt
CEWE STIFTUNG;D:CWC;25.03.1993;1993;Equities;Deutsche Boerse AG;Germany;Euro;Equity;General Retailers;Cewe Stiftung
COMPUGROUP MEDICAL;D:COP;30.05.1996;1996;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Software and Computer Services;Compugroup Medical
COMPUGROUP MEDICAL (XET);D:COPX;11.07.2000;2000;Equities;XETRA;Germany;Euro;Equity;Software and Computer Services;Compugroup Medical (XETRA)
DEUTSCHE EUROSHOP;D:DEQ;29.12.2000;2000;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Real Estate Investment and Services;Deutsche Euroshop
DEUTSCHE EUROSHOP (XET);D:DEQX;29.12.2000;2000;Equities;XETRA;Germany;Euro;Equity;Real Estate Investment and Services;Deutsche Euroshop (XETRA)
DIEBOLD NIXDORF;D:WIN;19.05.2004;2004;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Software and Computer Services;Diebold Nixdorf
